STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MEASURE_PRINCIPLE,Measurement principle,ACCOUNTING_ENTRY,Accounting entry,TYPE_ENTITY,Entity type,FDI_COMP,FDI component,SECTOR,Institutional sector,COUNTERPART_AREA,Counterpart area,LEVEL_COUNTERPART,Counterpart level,ACTIVITY,Economic activity,FREQ,Frequency of observation,FDI_COLLECTION_ID,FDI data collection identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CONF_STATUS,Confidentiality status,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ESP,Spain,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,857701.06,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,HUN,Hungary,T_D4P_F,FDI income - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,3338234.3,,A,Normal value,6,Millions,F,Free (free for publication),HUF,Forint,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,MEX,Mexico,LE_FA_F,FDI positions - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,592221.13,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,EST,Estonia,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,13466.054,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ISL,Iceland,T_D4P_F,FDI income - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,28021.738,,A,Normal value,6,Millions,F,Free (free for publication),ISK,Iceland krona,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,SWE,Sweden,T_FA_F,FDI financial flows - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,174344,,A,Normal value,6,Millions,F,Free (free for publication),SEK,Swedish krona,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,FIN,Finland,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,147858.33,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,DEU,Germany,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,151671,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,CRI,Costa Rica,LE_FA_F,FDI positions - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,3655.637,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ITA,Italy,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,6853.9731,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,DNK,Denmark,LE_FA_F,FDI positions - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,1787268,,A,Normal value,6,Millions,F,Free (free for publication),DKK,Danish krone,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,TUR,Türkiye,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,4881.7402,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,CZE,Czechia,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,15885.861,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,FRA,France,T_D4P_F,FDI income - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,100960,,A,Normal value,6,Millions,F,Free (free for publication),EUR,Euro,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,POL,Poland,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,1819.55,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,CZE,Czechia,LE_FA_F,FDI positions - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,4403083.5,,A,Normal value,6,Millions,F,Free (free for publication),CZK,Czech koruna,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,PRT,Portugal,T_FA_F,FDI financial flows - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,7341,,A,Normal value,6,Millions,F,Free (free for publication),EUR,Euro,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,NLD,Netherlands,T_D4P_F,FDI income - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,122026,,A,Normal value,6,Millions,F,Free (free for publication),EUR,Euro,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,CAN,Canada,T_FA_F,FDI financial flows - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,123167.95,,A,Normal value,6,Millions,F,Free (free for publication),CAD,Canadian dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,HUN,Hungary,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,4101.4541,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,LVA,Latvia,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,2078.9971,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ISL,Iceland,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,8036.6348,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,NZL,New Zealand,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,1014.851,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,DNK,Denmark,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,148857.69,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,GRC,Greece,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,6327.4229,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,SVK,Slovak Republic,T_FA_F,FDI financial flows - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,328.56299,,A,Normal value,6,Millions,F,Free (free for publication),EUR,Euro,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ITA,Italy,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,28337.131,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,CHE,Switzerland,LE_FA_F,FDI positions - total,RC,Reported currency,DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,1413067,,A,Normal value,6,Millions,F,Free (free for publication),CHF,Swiss franc,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,NLD,Netherlands,T_FA_F,FDI financial flows - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,-65633,,A,Normal value,6,Millions,F,Free (free for publication),EUR,Euro,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ISL,Iceland,T_FA_F,FDI financial flows - total,RC,Reported currency,DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,3169.521,,A,Normal value,6,Millions,F,Free (free for publication),ISK,Iceland krona,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,AUS,Australia,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,9221.1787,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,COL,Colombia,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,3890.281,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,NLD,Netherlands,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DI,Directional principle: inward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,150002.36,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,DNK,Denmark,T_D4P_F,FDI income - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,20300.727,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,USA,United States,LE_FA_F,FDI positions - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,6489012,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
DATAFLOW,OECD.DAF.INV:DSD_FDI@DF_FDI_CTRY_IND_SUMM(1.0),"FDI by counterpart area and by economic activity, BMD4",I,ESP,Spain,T_FA_F,FDI financial flows - total,USD_EXC,"US dollars, exchange rate converted",DO,Directional principle: outward,NET_FDI,Net FDI,_Z,Not applicable,D,Total direct investment,S1,Total economy,W,World,_Z,Not applicable,_T,Total - All activities,A,Annual,CTRY_IND,Annual FDI by counterpart area and by economic activity - BMD4,2021,,-1057.2371,,A,Normal value,6,Millions,F,Free (free for publication),USD,US dollar,2,Two
